Clave;Nombre
DEE;DIRECCION DE EXPLORACION Y EXTRACCION
DPI;DIRECCION DE PROCESOS INDUSTRIALES
DTE;DIRECCION DE TRANSFORMACION ENERGETICA
DLSE;DIRECCION DE LOGISTICA Y SALVAGUARDIA ESTRATEGICA
DC;DIRECCION DE COMERCIALIZACION
DF;DIRECCION DE FINANZAS
DAS;DIRECCION DE ADMINISTRACION Y SERVICIOS
DJ;DIRECCION JURIDICA
DPCDS;DIRECCION DE PLANEACION COORDINACION DESEMPEÑO Y SOSTENIBILIDAD
DA;DIRECCION DE AUDITORIA INTERNA
DE;DIRECCION DE EXPLORACION
DEPCA;DIRECCION DE EXPLORACION Y PRODUCCION POR CONTRATOS Y ASOCIACIONES
DP;DIRECCION DE PRODUCCION
DMLIC;DIRECCION DE MANTENIMIENTO, LOGISTICA E INFRASTRUCTURA COMPLEMENTARIA
DTEP;DIRECCION TECNICA DE EXPLORACION Y PRODUCCION
DAPEP;DIRECCION DE ADMINISTRACION DEL PORTAFOLIO DE EXPLORACION Y PRODUCCION
DSSTPA;DIRECCION DE SEGURIDAD, SALUD EN EL TRABAJO Y PROTECCION AMBIENTAL
DPEE;DIRECCION DE PROYECTOS DE EXPLOTACION ESTRATEGICOS
DPMP;DIRECCION DE PERFORACION Y MANTENIMIENTO DE POZOS
DDIIOE;DIRECCION DE DISEÑO E INGENIERIA DE INFRAESTRUCTURA Y OBRAS DE EXPLOTACION
